prompt_id,stereotype_group_id,cos_similarity: neutral vs change_1,cos_similarity: neutral vs change_2,cos_similarity: neutral vs change_3,cos_similarity: neutral vs change_4,cos_similarity: neutral vs change_5,cos_similarity: change_1 vs change_2,cos_similarity: change_1 vs change_3,cos_similarity: change_1 vs change_4,cos_similarity: change_1 vs change_5,cos_similarity: change_2 vs change_3,cos_similarity: change_2 vs change_4,cos_similarity: change_2 vs change_5,cos_similarity: change_3 vs change_4,cos_similarity: change_3 vs change_5,cos_similarity: change_4 vs change_5
1,Dealing with Change,0.8842080216263206,0.8291243931801777,0.8635472764642866,0.8581443961460168,0.8204449033997703,0.8387626259938397,0.91844562714154,0.8942452450608926,0.8695300404172395,0.8640617292954227,0.8621016888111136,0.865080241216169,0.9373673584750708,0.9149244175422158,0.939467597315782
2,Dealing with Change,0.9507908963340792,0.8313088305469287,0.8819234555929121,0.914820106551162,0.8947019829582736,0.8304940505010031,0.898751776520788,0.9281615660534044,0.8891609904508349,0.7720377188769523,0.8612849033589741,0.8102337639666501,0.9203429252121472,0.9127569901801504,0.9330219661434443
3,Cognitive and Physical Abilities,0.815497187422884,0.9503797926433162,0.8379266517741515,0.9593030258467312,0.9550443137542928,0.8133830565982466,0.7690650972799071,0.8323060877936498,0.8397670282969022,0.8519228285902803,0.9380888247831156,0.9516049015169352,0.8679137727181141,0.8643325397026336,0.9594727969422469
4,Cognitive and Physical Abilities,0.7024492632102135,0.7746203013836657,0.8523939279905194,0.784311386937204,0.835211904352049,0.7044363193065721,0.7525655750828859,0.7873352679376902,0.7676171292231251,0.8278746296848056,0.8274262314968838,0.7952493696284528,0.8660954877359998,0.8619291498313151,0.8808985285246511
5,Dependent on Else,0.8579276036632264,0.9523785976817796,0.8978433726485009,0.943889435996929,0.9009980982385012,0.8508865693548278,0.8505093013923086,0.8362347208560152,0.8795827175059434,0.8437584414071647,0.948443112544947,0.904913950904222,0.8760214266919513,0.8573876722206673,0.8782943129204351
6,Cognitive and Physical Abilities,0.7983734744111257,0.9493747490919692,0.899312375194623,0.9622463346683888,0.8670794223089975,0.8278929636178559,0.7923988298864172,0.773245244665245,0.8856026809871287,0.91737751225001,0.9321883163270458,0.8569643990675835,0.9251371891828016,0.8168613322630549,0.8436254084310706
7,Dealing with Change,0.9162772832040076,0.745984899530646,0.8922392539239014,0.882693540179243,0.8746015638954067,0.7482824243383492,0.8742493524366807,0.8832300433927929,0.8712080609009863,0.7604189226907623,0.8107507396311295,0.8001852951857549,0.8628252724494759,0.87120389230793,0.8888421509544264
8,Dealing with Change,0.7367803718856497,0.888490352599907,0.907630794214107,0.8805809615263913,0.8469686033590897,0.7480424990097694,0.7198451095177132,0.7504216259807158,0.7463716145934357,0.8912163582974074,0.8712573928354422,0.8167297001655083,0.8785001054746604,0.8897819497642208,0.8228360121027471
9,Dependent on Else,0.772541803126689,0.7039094622976673,0.7971108446051045,0.7534668142401406,0.6640273241610115,0.8384186158982332,0.6911424387809096,0.7281165695894374,0.7932514678020877,0.6565213799655221,0.6873476507991778,0.7580216089518895,0.7897765437470756,0.6084200394727348,0.647027156301114
10,Dependent on Else,0.668318121859917,0.7543028062955046,0.6887132262965667,0.8918940789367839,0.774269371828608,0.6583150942707806,0.690185509944891,0.7004675974033521,0.6862161100015527,0.6227370916464962,0.7468243191148921,0.635329721336008,0.7273362233473761,0.715369415274948,0.7722452926676415
11,Cognitive and Physical Abilities,0.8026636078082217,0.7393798143318026,0.7914974065913575,0.8355164745228714,0.7359588671955036,0.56641454502383,0.7141240237325277,0.7508731602215523,0.803102444722854,0.773459030298847,0.7892245382155542,0.7277047471864818,0.8754381392586772,0.7874181111908135,0.8206650025514948
12,Cognitive and Physical Abilities,0.8936785020627402,0.9628614255450374,0.8768011541195693,0.9109826518678,0.92231695444609,0.8962436150021578,0.9294895859574148,0.9197042372726282,0.8895583933366573,0.8760967746402044,0.8916469778637636,0.93598703776634,0.9567422251873868,0.8971959980692877,0.9232271816420604
13,Emotional Instability,0.6208600379262809,0.7466705326211311,0.7313792947768536,0.6492733549880204,0.6533067908059879,0.5766066604184541,0.6313165424208116,0.3509926169901204,0.3240565969735332,0.9124349740591642,0.6964836574224536,0.6203986580965601,0.5991959383952437,0.554653260122284,0.7887393217799276
14,Emotional Instability,0.8590455871856444,0.8431388728960132,0.8369691599911169,0.8860823012393247,0.807572802878411,0.8888477849125253,0.922966604558056,0.8965868330651653,0.8789938160024104,0.9406247670836864,0.8473903474403259,0.9076385275488124,0.8468334860386648,0.917304875877742,0.8541581306801885
15,Emotional Instability,0.7326643035901406,0.8296498433349817,0.7805460817766294,0.7970349983680073,0.7314501321616278,0.6192354736204555,0.907101835034321,0.6448469220988204,0.6368021703505911,0.6645387458036125,0.6797407542481878,0.6705860984351562,0.6934038490408965,0.6808589508204564,0.9425924023552082
16,Emotional Instability,0.7402658225618232,0.7075832118582077,0.7429255882008967,0.7373452856822076,0.7505859404580628,0.870429096094903,0.7975910121537897,0.7344655383813707,0.8917867950046088,0.7356092346333354,0.7182680915931823,0.8073985370987502,0.6754657635193905,0.7505171826476502,0.7761916141857725
17,Emotional Instability,0.8221993407599921,0.885530557524832,0.8043924442583646,0.7649597106297149,0.8323154316221069,0.7845267768220855,0.8140319342552514,0.779034351073769,0.8519006091289054,0.7806046072920906,0.7541162185230517,0.7697153257887772,0.958237925968517,0.8194577519724817,0.8002736279798605
