prompt_id,stereotype_group_id,cos_similarity: neutral vs change_1,cos_similarity: neutral vs change_2,cos_similarity: neutral vs change_3,cos_similarity: neutral vs change_4,cos_similarity: neutral vs change_5,cos_similarity: change_1 vs change_2,cos_similarity: change_1 vs change_3,cos_similarity: change_1 vs change_4,cos_similarity: change_1 vs change_5,cos_similarity: change_2 vs change_3,cos_similarity: change_2 vs change_4,cos_similarity: change_2 vs change_5,cos_similarity: change_3 vs change_4,cos_similarity: change_3 vs change_5,cos_similarity: change_4 vs change_5
1,"Career, Education, and Finance",0.8386149369124805,0.6833272109392348,0.5641208131109874,0.8452256298622653,0.721237222282521,0.8201399180237303,0.6813766793457231,0.7734855063663404,0.8095664995900255,0.6995406364198931,0.6321466324503728,0.841581715404313,0.5212739868558869,0.6895642113484725,0.6429689229369195
2,"Career, Education, and Finance",0.6292048935686405,0.9566873934342752,0.966630774401283,0.91486218559212,0.916729465174597,0.6537573730729628,0.6308229743810138,0.6403672246894447,0.6257396071806727,0.9672332138307091,0.9433042014089946,0.9343817355729342,0.9293240554243662,0.9208036612074296,0.9673831805953172
3,"Entertainment, Leisure, and Preferences",0.9956033814670068,0.432203161607615,0.3978023931552289,0.999999999999998,0.6115146809846229,0.4346915320951169,0.401791421087167,0.9956033814670068,0.6177116119790811,0.6302638264246307,0.432203161607615,0.5306169824843069,0.3978023931552289,0.4835390620564381,0.6115146809846229
4,"Entertainment, Leisure, and Preferences",0.4493548831187203,0.7027410448783791,0.6384705827590393,0.4260083592812898,0.3568727235998735,0.6141107785469384,0.7839975174101543,0.7317649650112366,0.7302591083213517,0.7960851246159862,0.5328183175571329,0.466319904755178,0.6394188959086093,0.6009308838721218,0.8240653050116735
5,"Entertainment, Leisure, and Preferences",0.7346212981318373,0.8321866009778285,0.9474719112976387,0.888465396473695,0.9170286008669588,0.7093704554199376,0.7436871908344062,0.7219351223413953,0.7779509347854998,0.7943467967106415,0.7122003936839569,0.7795596867603504,0.8874048340216747,0.9375393919932272,0.8930143769688631
6,"Entertainment, Leisure, and Preferences",0.8861664582901752,0.9025132864684444,0.8520240539016912,0.8811875282360873,0.878103820867569,0.8611822301744698,0.9478182418796268,0.978667913852998,0.9422006079538604,0.8135282811356632,0.8554021045031316,0.8520446708165837,0.9605983541205796,0.9481296843113822,0.9500396491157388
7,"Career, Education, and Finance",0.6950268323756572,0.922058236675074,0.6253091466596565,0.8045640495974029,0.7951643152577573,0.7099048750884308,0.7246196908108011,0.7475446524218194,0.6924587918416049,0.7379427381951307,0.8237351754033237,0.8158895507433042,0.690022631761089,0.6748870274917572,0.8414344454993249
8,"Entertainment, Leisure, and Preferences",0.7989181007231273,0.9345968218789704,0.7006281306862306,0.9587100705456636,0.8079788864985751,0.8135931754691995,0.8075090498277043,0.8086247467038801,0.9368558262403632,0.702989661378282,0.944666854587142,0.823329380508433,0.7211624204143373,0.8117844697136076,0.8307429252912083
9,"Entertainment, Leisure, and Preferences",0.9215536828019208,0.9404885900205828,0.8801539713544415,0.945850631273869,0.9522392677498782,0.9136725940331898,0.8341990793657265,0.9102668315517538,0.8957737753231114,0.8698630538723319,0.9606246109188932,0.9350101079605108,0.879561109368477,0.8613977122973364,0.9469176908187482
10,"Entertainment, Leisure, and Preferences",0.9358113592786612,0.7993634216660404,0.926459724792025,0.9241732579153844,0.949448397831098,0.7934781445003672,0.9435571660182592,0.9439300168429684,0.9362022922727218,0.7833898138023256,0.7957385664415292,0.7904177775449026,0.9501828987646226,0.9262022734460618,0.9280526359271738
11,"Career, Education, and Finance",0.9774302256748792,0.919583355913306,0.9224709357908092,0.9251414780122236,0.9558192985273178,0.9354275404425176,0.9189714839545156,0.9071560383206724,0.9491794247914584,0.9133746116436676,0.9162309943762308,0.9290838458212756,0.9456723970106478,0.926485613159479,0.9292748655526376
