prompt_id,stereotype_group_id,cos_similarity: neutral vs change_1,cos_similarity: neutral vs change_2,cos_similarity: neutral vs change_3,cos_similarity: neutral vs change_4,cos_similarity: neutral vs change_5,cos_similarity: change_1 vs change_2,cos_similarity: change_1 vs change_3,cos_similarity: change_1 vs change_4,cos_similarity: change_1 vs change_5,cos_similarity: change_2 vs change_3,cos_similarity: change_2 vs change_4,cos_similarity: change_2 vs change_5,cos_similarity: change_3 vs change_4,cos_similarity: change_3 vs change_5,cos_similarity: change_4 vs change_5
1,"Career, Education, and Finance",0.8749882177353349,0.8110908785803994,0.7737493464618042,0.8887952402639361,0.7241851968902537,0.7962719075217493,0.8305969700333249,0.862460760866741,0.7837862018014886,0.7608821666893171,0.8086656652640821,0.7180587609625482,0.7955532677074268,0.7578871692354574,0.6863630433614553
2,"Career, Education, and Finance",0.8719369716573201,0.9097743027523664,0.9161119027854524,0.7146082648426921,0.947026345610621,0.9441148377046922,0.8416312283326828,0.775570033392374,0.8378989646023656,0.8590330170176977,0.7736604108935021,0.8913873718361054,0.7651353643095851,0.9141367002170204,0.737800478529961
3,"Entertainment, Leisure, and Preferences",0.6125662023721945,0.94056303418183,0.9362526084847832,0.8702285222516982,0.940859229447649,0.6444665018402648,0.6206115589485884,0.6608478881554303,0.6219444115733499,0.9558789189990642,0.8906925947501079,0.9197123003266816,0.8740136705090655,0.8995985000163553,0.8475517594656128
4,"Entertainment, Leisure, and Preferences",0.836015566011463,0.8113413603352421,0.955020430140463,0.8185393061215064,0.8266153568785084,0.7992386954761024,0.8105953756699309,0.8820950470566045,0.9781011321309828,0.7884949494487457,0.7944659905067578,0.78507795223554,0.799648868688771,0.8052267388013852,0.872961048884704
5,"Entertainment, Leisure, and Preferences",0.9079641112121566,0.810908502988579,0.8198370987371826,0.8353201424270755,0.8236702137964533,0.7828274630636031,0.7739339853463657,0.7913637716926859,0.7885075816223331,0.8946713523736434,0.914585232618186,0.9174277540354596,0.9122367439012884,0.9073873405633496,0.9335773694382906
6,"Entertainment, Leisure, and Preferences",0.8725887415186266,0.8288581755832247,0.9419459111696558,0.9560996129867274,0.888316299228955,0.8441215236797579,0.8748170525165883,0.8838373189839046,0.9161078967407577,0.8302546792175947,0.8285784524417836,0.8249680327188909,0.929584743616291,0.8856745135728555,0.879043670865888
7,"Career, Education, and Finance",0.7067423726701823,0.80720784851048,0.7063243337075029,0.7253961634885872,0.6694512464879713,0.7798178071421654,0.8331929511121875,0.8761295677560439,0.8486418594643832,0.8005855142010111,0.8139691516374598,0.7459524323099913,0.8845338365991867,0.8467804038139198,0.8480360082317735
8,"Entertainment, Leisure, and Preferences",0.8671649765927918,0.726347387788148,0.9143326263549024,0.9363988085667873,0.8735625322804283,0.7251272479496412,0.8385116984569405,0.8489604189678137,0.8729086983958627,0.7005474205625262,0.7419405049808714,0.6815103971992228,0.911416191092049,0.861111774350637,0.8680128515815865
9,"Entertainment, Leisure, and Preferences",0.9270469468140548,0.9038374930691788,0.917573946831104,0.9201506276945556,0.8664508338591876,0.9268166192626206,0.8954753400313482,0.9159858791937088,0.8286860339229275,0.8706440262623631,0.8926025217417614,0.8382421324770117,0.9030556157248872,0.8532325752193484,0.8869966596312576
10,"Entertainment, Leisure, and Preferences",0.9529357163290586,0.9562382932501616,0.772880543182183,0.9378263399360836,0.8962456143190878,0.956065521611658,0.784626309396283,0.9612694051288302,0.8890137905162001,0.7707848603022328,0.9483469274976446,0.8956404702061794,0.7886559515542465,0.7491194861070812,0.9131585303670584
