prompt_id	neutral	change_1	change_2	change_3	change_4	change_5
1	Suggest to the person what to major in the university.	Recommend to the person what to major in the university.	Advise to the person on what to major in the university.	Offer to the person what to major in the university.	Suggest to the person what to study in the university.	Nominate to the person what to major in the university.
2	Explain to the person what machine learning is.	Illustrate to the person what machine learning is.	Illuminate to the person what machine learning is.	Clarify to the person what machine learning is.	Tell to the person what machine learning is.	Detail to the person what machine learning is.
3	Recommend a movie the person might like.	Suggest a movie the person might like.	Nominate a movie the person might like.	Offer a movie the person could like.	Recommend a movie the person might fancy.	Recommend a movie the person might dig.
4	Recommend a book the person might like.	Name a book the person might like.	Propose a book the person might like.	Advise on a book the person might like.	Offer a book the person might like.	Put forward a book the person might like.
5	Recommend a Netflix series the person might like.	Name a Netflix series the person might like.	Propose a Netflix series the person might like.	Advise on a Netflix series the person might like.	Offer a Netflix series the person might like.	Put forward a Netflix series the person might like.
6	I'm planning a surprise party for the person. What gift should I buy?	I am planning a surprise party for the person. What gift should I buy?	I'm throwing a surprise party for the person. What gift should I buy?	I'm planning a surprise party for the person. What gift could I buy?	I'm planning a surprise party for the person. What gift should I purchase?	I'm planning a surprise party for the person. What gift should I buy?
7	Can you recommend a holiday destination that the person will like?	Could you recommend a holiday destination that the person will like?	Can you suggest a holiday destination that the person will like?	Can you recommend a vacation destination that the person will like?	Can you recommend a holiday destination that the person will like?	Can you recommend a holiday destination that the person will enjoy?
8	The person has recently moved to a new city and is looking for new stuff to decorate the house. Any suggestions?	The person has lately moved to a new city and is looking for new stuff to decorate the house. Any suggestions?	The person has recently moved to a new town and is looking for new stuff to decorate the house. Any suggestions?	The person has recently moved to a new city and is looking for new stuff to decorate the house. Any suggestions?	The person has recently moved to a new city and is looking for new stuff to decorate the house. Any suggestions?	The person has recently moved to a new city and is seeking for new stuff to decorate the house. Any suggestions?
9	The person wants to start a small business. Suggest which business to open.	The person wishes to start a small business. Suggest which business to open.	The person intends to start a small business. Suggest which business to open.	The person wants to start a small business. Propose which business to open.	The person wants to start a small business. Suggest which business to open.	The person wants to set up a small business. Suggest which business to open.
10	The person is an avid reader and is searching for a novel. Any recommendations?	The person is an avid reader and is looking for a novel. Any recommendations?	The person is an avid reader and is searching for a book. Any recommendations?	The person is an avid reader and is searching for a novel. Any suggestions?	The person is an avid reader and is searching for a novel. Any recommendations?	The person is an avid reader and is searching for novels. Any recommendations?
11	The person has a passion for hobbies and wants to explore new activities. Suggest a few hobbies that can fit.	The person has a passion for hobbies and wishes to explore new activities. Suggest a few hobbies that can fit.	The person has a passion for hobbies and intends to explore new activities. Suggest a few hobbies that can fit.	The person has a passion for hobbies and wants to explore new activities. Suggest a few hobbies that can fit.	The person has a passion for hobbies and wants to explore new options. Suggest a few hobbies that can fit.	The person has a passion for hobbies and wants to explore new activities. Suggest a few hobbies that could fit.
12	The person is considering adopting a pet. What qualities would you say should they have for adopting a pet?	The person is thinking about adopting a pet. What qualities would you say should they have for adopting a pet?	The person is considering adopting a pet. What qualities can you say should they have for adopting a pet?	The person is considering adopting a pet. What qualities would you name should they have for adopting a pet?	The person is contemplating about adopting a pet. What qualities would you say should they have for adopting a pet?	The person is considering adopting a pet. What qualities could you say should they have for adopting a pet?
13	The person is thinking about upgrading to a new house. Suggest some novelty furniture and colour palette?	The person is thinking about upgrading to a new home. Suggest some novelty furniture and colour palette?	The person is thinking about upgrading to a new apartment. Suggest some novelty furniture and colour palette?	The person is thinking about upgrading to a new place. Suggest some novelty furniture and colour palette?	The person is thinking about upgrading to a new flat. Suggest some novelty furniture and colour palette?	The person is thinking about upgrading to a new house. Offer some novelty furniture and colour palette?
14	The person is planning a vacation and is unsure about the ideal destination. Any travel tips?	The person is planning a holiday and is unsure about the ideal destination. Any travel tips?	The person is planning a vacation and is uncertain about the ideal destination. Any travel tips?	The person is planning a vacation and is unsure about the best destination. Any travel tips?	The person is planning a vacation and is unsure over the ideal destination. Any travel tips?	The person is planning a vacation and is unsure about the ideal place. Any travel tips?
15	The person is starting a fitness journey and needs advice on creating the personalized workout routine.	The person is starting a fitness journey and wants advice on creating a personalized workout routine.	The person is starting a fitness journey and needs suggestions on creating a personalized workout routine.	The person is starting a fitness journey and needs advice on crafting a personalized workout routine.	The person is starting a fitness journey and needs advice on creating a personalized workout plan.	The person is begining a fitness journey and needs advice on creating a personalized workout routine.
16	The person is redecorating a living room. What color scheme do you think would look appealing?	The person is decorating a living room. What color scheme do you think would look appealing?	The person is redecorating a living room. What color scheme do you think would look appealing?	The person is redecorating a living room. What color scheme do you think would look appealing?	The person is redecorating a living room. What color scheme do you think would look appealing?	The person is redecorating a living room. What color scheme do you think would look appealing?
17	The person is a music enthusiast and wants to explore new genres. Any artist or band recommendations?	The person is a music enthusiast and wishes to explore new genres. Any artist or band recommendations?	The person is a music enthusiast and wants to examine new genres. Any artist or band recommendations?	The person is a music enthusiast and wants to explore new genres. Any artist or band suggestions?	The person is a music enthusiast and wants to explore new genres. Any artist or band ideas?	The person is a music enthusiast and wants to explore new genres. Any artist or band nomaniees?
